karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat,fkdr,wlr,bblr,fk_lev,bb_lev,kill_lev
7436681.0,25425975.0,1704.0,6.0,3893.0,19546.0,449.0,555.0,0.0,453.0,0.0,0.0,232.0,1459.0,1623.0,2180561.0,106960.0,1685.0,5991.0,251875.0,8085.0,47731.0,15724.0,95.0,40.0,55.0,203.0,6361.0,2033.0,7771.0,12286.0,12175.0,7282.0,1992.0,712.0,536.0,4548.0,451.0,0,0.31960383587486246,0.061933534743202415,0.2812552161575697,4.527839643652562,27.115812917594656,3.752783964365256
14510.0,703168.0,259.0,0.0,455.0,412.0,12.0,12.0,0.0,88.0,0.0,0.0,72.0,40.0,36.0,47060.0,7559.0,259.0,140.0,30569.0,932.0,1149.0,226.0,23.0,4.0,13.0,21.0,129.0,455.0,223.0,225.0,811.0,135.0,476.0,47.0,147.0,339.0,88.0,0,3.5271317829457365,0.6518518518518519,1.85,37.916666666666664,67.58333333333333,21.583333333333332
230.0,534033.0,282.0,0.0,513.0,351.0,14.0,4.0,0.0,51.0,0.0,0.0,70.0,11.0,9.0,61815.0,10462.0,281.0,345.0,121818.0,1861.0,567.0,199.0,29.0,10.0,10.0,26.0,343.0,349.0,407.0,408.0,764.0,356.0,1134.0,101.0,132.0,319.0,51.0,0,1.0174927113702623,0.14325842696629212,0.8144927536231884,24.928571428571427,54.57142857142857,20.071428571428573
10460.0,668135.0,40.0,0.0,139.0,77.0,40.0,36.0,0.0,62.0,0.0,0.0,3.0,28.0,103.0,191587.0,8927.0,40.0,299.0,197574.0,815.0,973.0,1157.0,37.0,15.0,3.0,14.0,309.0,81.0,397.0,1228.0,276.0,321.0,479.0,157.0,26.0,90.0,62.0,0,0.2621359223300971,0.19314641744548286,0.13377926421404682,2.025,6.9,1.0
105.0,239588.0,32.0,0.0,128.0,183.0,11.0,7.0,0.0,66.0,0.0,0.0,2.0,21.0,18.0,44756.0,4554.0,32.0,182.0,16757.0,782.0,744.0,568.0,28.0,7.0,0.0,15.0,208.0,97.0,271.0,271.0,327.0,204.0,372.0,61.0,32.0,136.0,66.0,0,0.46634615384615385,0.3235294117647059,0.17582417582417584,8.818181818181818,29.727272727272727,2.909090909090909
29690.0,303861.0,164.0,0.0,401.0,112.0,10.0,0.0,0.0,49.0,0.0,0.0,38.0,12.0,0.0,40190.0,6358.0,164.0,155.0,67009.0,510.0,615.0,157.0,5.0,3.0,8.0,15.0,169.0,207.0,239.0,241.0,332.0,190.0,269.0,60.0,65.0,127.0,49.0,0,1.2248520710059172,0.2578947368421053,1.0580645161290323,20.7,33.2,16.4
46173.0,5151432.0,1769.0,7.0,4287.0,1774.0,108.0,122.0,0.0,543.0,0.0,0.0,516.0,65.0,366.0,516643.0,35525.0,1767.0,892.0,417519.0,3986.0,2640.0,2244.0,147.0,40.0,73.0,169.0,762.0,2607.0,1272.0,1287.0,3767.0,729.0,1766.0,235.0,990.0,1713.0,543.0,0,3.421259842519685,0.7448559670781894,1.9809417040358743,24.13888888888889,34.879629629629626,16.36111111111111
0.0,9755.0,0.0,0.0,2.0,7.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,2.0,6.0,4349.0,241.0,0.0,10.0,1164.0,26.0,55.0,23.0,0.0,0.0,0.0,0.0,11.0,2.0,14.0,14.0,12.0,8.0,12.0,5.0,1.0,6.0,6.0,0,0.18181818181818182,0.75,0.0,0.6666666666666666,4.0,0.0
3980.0,1672443.0,351.0,0.0,806.0,1280.0,43.0,48.0,0.0,84.0,0.0,0.0,46.0,93.0,144.0,203422.0,23957.0,351.0,1017.0,132421.0,3001.0,3082.0,911.0,60.0,13.0,12.0,51.0,1054.0,524.0,1154.0,1170.0,1757.0,1070.0,1779.0,387.0,155.0,703.0,83.0,0,0.4971537001897533,0.07757009345794393,0.34513274336283184,12.186046511627907,40.86046511627907,8.162790697674419
285.0,364547.0,11.0,0.0,63.0,89.0,10.0,2.0,0.0,14.0,0.0,0.0,0.0,23.0,2.0,40770.0,3262.0,11.0,176.0,20108.0,502.0,721.0,464.0,7.0,3.0,0.0,3.0,185.0,33.0,222.0,223.0,302.0,201.0,264.0,61.0,9.0,91.0,14.0,0,0.1783783783783784,0.06965174129353234,0.0625,3.3,30.2,1.1
45555.0,580624.0,190.0,0.0,412.0,198.0,15.0,4.0,0.0,33.0,0.0,0.0,27.0,30.0,9.0,66794.0,10906.0,190.0,466.0,21634.0,1898.0,1123.0,388.0,25.0,11.0,8.0,23.0,488.0,211.0,612.0,626.0,877.0,578.0,1306.0,122.0,73.0,342.0,33.0,0,0.4323770491803279,0.05709342560553633,0.40772532188841204,14.066666666666666,58.46666666666667,12.666666666666666
525.0,413592.0,16.0,0.0,89.0,252.0,9.0,4.0,0.0,33.0,0.0,0.0,2.0,46.0,12.0,36767.0,2686.0,16.0,122.0,10777.0,290.0,1518.0,330.0,3.0,4.0,1.0,4.0,129.0,51.0,158.0,162.0,252.0,124.0,175.0,42.0,13.0,81.0,33.0,0,0.3953488372093023,0.2661290322580645,0.13114754098360656,5.666666666666667,28.0,1.7777777777777777
1410.0,435220.0,3.0,0.0,55.0,61.0,9.0,14.0,0.0,13.0,0.0,0.0,0.0,25.0,36.0,36522.0,1959.0,3.0,85.0,19833.0,176.0,495.0,149.0,2.0,2.0,2.0,3.0,87.0,29.0,110.0,159.0,145.0,88.0,94.0,18.0,11.0,65.0,13.0,0,0.3333333333333333,0.14772727272727273,0.03529411764705882,3.2222222222222223,16.11111111111111,0.3333333333333333
1209330.0,1921172.0,465.0,0.0,1748.0,475.0,71.0,78.0,0.0,318.0,0.0,0.0,62.0,149.0,222.0,346417.0,24675.0,465.0,1164.0,105071.0,5211.0,5110.0,2882.0,105.0,26.0,29.0,55.0,1196.0,882.0,1706.0,1875.0,2821.0,1315.0,3019.0,473.0,308.0,1374.0,317.0,0,0.7374581939799331,0.24106463878326997,0.39948453608247425,12.422535211267606,39.732394366197184,6.549295774647887
0.0,7265.0,5.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1219.0,31.0,5.0,3.0,5172.0,41.0,13.0,0.0,1.0,0.0,1.0,0.0,11.0,8.0,13.0,13.0,5.0,13.0,28.0,1.0,2.0,2.0,0.0,0,0.7272727272727273,0.0,1.6666666666666667,8.0,5.0,5.0
