karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
15409265,13598793.0,0,0,0,0,2,0,0,0,0,0,0,1,0,1850,46,0,1,10470,3,56,27,0,0,0,0,1,0,1,1,8,1,0,1,0,4,0,1
108179,6873152.0,0,0,0,0,1,11,0,1,0,0,0,0,32,1000,42,0,1,71253,1,1,21,0,0,0,0,1,0,2,2,1,1,0,0,0,0,1,1
19115,543898,71,0,169,41,6,0,0,27,0,0,11,11,0,17248,1908,71,27,39309,172,325,92,6,1,2,8,23,114,49,49,150,22,94,4,42,54,27,1
23338012,38828595.0,30,0,110,0,5,4,0,19,0,0,4,1,3,16649,873,30,13,58072,49,208,114,0,0,1,5,9,74,32,32,169,11,33,5,20,85,19,1
20655175,178521197.0,426,0,1253,200,46,66,355,198,0,0,88,74,194,218392,12579,397,384,274403,1700,3513,1570,60,10,14,64,364,668,542,654,1411,372,1038,164,232,640,160,1
6546365,56083865.0,700,21,2032,952,56,69,0,375,0,0,83,60,176,270709,16738,699,368,585250,1342,3006,2707,33,10,27,55,301,1396,700,721,1689,323,671,92,458,734,375,1
7839058,31198589.0,0,0,17,0,3,6,0,3,0,0,0,3,11,4891.0,283,0,8,2167,32,196,144,0,0,0,0,6,9,12,13,62,9,30,4,5,45,3,1
65811100,142550525.0,355,0,566,40,38,113,0,153,0,0,5,8,266,179942,12461,354,415,278447,1776,3368,1707,34,5,7,27,390,435,674,686,1072,518,895,149,156,515,153,1
5376845,48680741.0,457,20,1122,838,33,55,633,237,0,0,31,25,122,156091,10540,458,241,1070623,1001,1669,862,21,8,24,44,214,967,458,464,1746,215,470,83,306,773,237,1
1972325,5414066.0,127,0,754,453,26,34,0,180,0,0,22,119,102,121308,7339,127,209,128868,1065,3169,1009,21,4,20,24,184,422,372,383,1256,188,614,62,121,491,179,1
18993500,111240644.0,544,0,1956,74,55,86,0,571,0,0,10,8,201,263628.0,13397,540,217,93439,1726,1976,1284,68,5,39,63,126,1864,687,709,1958,127,834,45,761,1035,560,1
39879285.0,120258639.0,3321,0,3188,948,143,169,0,731,0,0,262,224,385,691325.0,54183,3311,1070,1129745,2322,24152,17708,42,6,34,90,739,3171,1601,1613,5400,866,1170,361,1090,2006,731,1
4153410,8935256.0,0,0,0,0,1,0,0,1,0,0,0,0,0,940,6,0,1,5250,10,0,1,1,0,0,0,0,0,2,2,6,1,7,0,0,0,1,1
56987860,170364590.0,184,0,570,4,20,60,0,86,0,0,19,18,172,89620,5649,181,117,234649,359,1355,804,11,2,5,18,88,309,180,188,659,95,185,35,83,233,84,1
1344725,37783246.0,2335,3,6278,5872,224,127,0,1227,0,0,460,162,328,1081061,94927,2317,4344,587528,15814,7707,14342,530,146,117,378,4235,3398,5661,5746,8753,4305,7926,1463,1261,3843,1224,1
3536265,10813827.0,103,0,0,0,7,6,0,46,0,0,0,0,0,24284,1597,103,28,128132,124,492,359,1,1,1,7,15,186,62,62,205,16,60,9,79,89,46,1
41641450,131333793.0,92,0,390,153,30,54,0,149,0,0,7,41,143,137066,8799,92,322,306029,921,2501,1021,26,3,5,35,319,258,503,520,1066,336,471,131,79,368,149,1
2006197,14037244.0,189,0,10,10,11,0,0,181,0,0,2,0,0,43783.0,4835,191,43,276446,378,986,696,14,1,12,19,28,445,201,202,521,20,160,15,163,250,181,1
2500,1204310,0,0,0,1,1,0,0,0,0,0,0,0,0,904,15,0,3,10144,2,0,0,0,0,0,0,3,0,3,3,1,3,1,2,0,0,0,1
1943362,46513014.0,10,0,196,747,41,54,325,137,0,0,0,62,161,192013,12923,10,408,173824,727,2015,1037,53,32,8,52,418,126,554,768,718,417,345,109,50,289,137,1
5405820,18319359.0,0,0,0,0,1,2,0,0,0,0,0,0,3,500,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12352440,89976938.0,175,0,612,124,25,19,0,127,0,0,10,10,42,115774,5022,173,154,248555,678,1946,1084,18,2,4,41,132,418,274,285,1279,146,371,58,139,578,126,1
9946023,42578074.0,240,0,847,164,21,42,0,102,0,0,12,5,123,96842,3583,238,173,220484,945,1040,585,19,5,8,34,147,487,254,257,1388,152,541,65,194,708,102,1
28625315,41146178.0,2197,0,3828,224,77,85,0,866,0,0,44,54,43,375545,37297,2197,676,228712,2494,6255,6725,76,21,67,94,492,3745,1336,1347,3271,470,1253,235,1344,1324,866,1
3442196,132438215.0,1393,12,3678,689,107,154,0,733,0,0,144,27,412,505185,24917,1381,636,370608,3383,2651,3891,142,33,62,102,525,2424,1261,1305,2638,533,1738,241,1217,1587,723,1
1253645,46846608,973,1,1291,566,74,15,0,239,0,0,52,12,45,361895,20711,961,492,594858,1331,3008,2095,40,12,27,40,397,1277,630,659,1318,392,590,131,452,507,238,1
19389925,66938223.0,212,0,996,91,24,32,0,163,0,0,25,10,96,107790,8121,209,249,149486,940,1744,798,22,4,11,41,227,496,407,412,1079,232,485,85,208,490,163,1
10887425,84937207,652,6,2589,861,74,5,124,665,0,0,121,53,8,358561,20792,650,266,544500,2813,1951,935,111,10,44,68,193,1617,835,948,1434,171,1461,67,576,730,664,1
50934,3060933.0,50,0,156,0,3,0,0,11,0,0,12,2,0,4357,103,50,11,3529,59,29,16,0,0,1,0,8,79,26,30,33,14,42,4,28,16,11,1
9040495,65744966.0,911,21,2815,3712,84,100,0,335,0,0,87,79,261,408789,28958,899,1091,948738,5394,7770,3151,133,20,44,122,1051,1834,1395,1464,4967,1059,2769,356,461,1804,333,1
6677609,48751519.0,360,0,1014,622,39,67,0,223,0,0,23,18,180,184917,14745,353,327,292242,1374,2376,1563,35,20,12,44,301,666,557,577,1490,336,838,151,185,602,216,1
14585340,36782870.0,2,0,23,29,14,28,0,70,0,0,0,18,73,61010,1231,2,76,156349,296,1824,222,4,0,0,3,71,20,149,171,94,76,191,34,13,54,70,1
19794685,66239139.0,425,3,1045,267,64,82,35,267,0,0,80,64,240,309098,27655,422,765,424300,4462,3128,1439,146,24,22,104,697,660,1368,1450,2588,1053,3082,307,307,1244,265,1
30774615,25494831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
