karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
6835730,36319065.0,254,0,962,269,27,1,0,197,0,0,46,98,1,123613,12637,254,378,262426,1574,2736,985,32,14,8,36,354,515,551,613,1365,347,1025,167,136,530,197,0
17938045,34137568.0,271,0,1680,987,46,39,0,293,0,0,44,161,116,220446,18308,268,480,122239,2350,4765,2571,50,12,24,69,460,866,778,873,2508,477,1401,139,195,827,292,0
620590,3092009.0,32,0,106,8,4,3,0,11,0,0,1,2,8,7499,1182,32,32,5608,118,130,58,1,2,0,2,30,57,45,45,109,30,74,13,13,39,11,0
31932470,150951547.0,3616,1,12999,1278,211,250,0,1266,0,0,550,101,750,1020851,52144,3612,928,715143,5080,6548,12589,95,21,153,231,522,6547,1774,2353,6073,501,2579,241,1981,2347,1256,0
15,263625,12,0,29,12,2,0,0,2,0,0,3,3,0,3125,348,12,7,5694,21,63,99,0,0,0,1,7,15,10,12,39,8,12,3,5,6,2,0
738105,4371312.0,981,1,2652,881,59,88,275,261,0,0,205,178,243,284141,44465,979,1425,250455,3685,5417,2341,129,68,42,192,1412,1408,1783,1816,3237,1520,1944,496,454,1252,261,0
17126305,158889767.0,4226,12,17750,2421,314,335,126,2240,0,0,468,423,1001,1518352,118308,4215,1999,821918,15108,24677,12930,427,59,211,490,1626,9228,3752,4194,11606,1496,8688,649,2797,4954,2210,0
243975,3282664.0,393,0,694,78,41,24,0,191,0,0,29,44,32,196793,15752,391,916,134524,3307,5726,5061,49,14,11,43,877,575,1274,1281,1889,1072,1820,405,192,927,191,0
81815,1530590.0,754,17,2521,880,44,2,0,611,0,0,149,81,0,209499,31960,740,596,170229,4394,3100,1088,230,25,68,191,707,1464,1494,1646,2749,879,1826,181,602,1470,604,0
9605,2371086.0,327,0,910,506,34,40,0,215,0,0,41,66,103,158543,16886,327,683,118861,3392,3669,2008,83,23,15,58,723,549,982,1035,1763,747,1911,282,216,925,215,0
4260,537796.0,121,0,468,99,16,12,0,69,0,0,25,52,36,67536,4502,121,230,54082,35666,1597,573,12,2,8,17,26270,241,33902,33922,617,32866,292,73,114,327,69,0
10895110,12370091.0,333,0,920,303,31,38,0,125,0,0,65,143,114,144619,16880,333,704,222014,2279,4436,2163,57,12,14,60,696,464,853,878,1888,712,1334,267,146,778,125,0
2200480,30092677.0,1165,3,5093,1778,76,85,0,744,0,0,222,104,238,371787,46778,1156,1009,99996,5332,5653,3160,143,20,65,197,884,2648,1641,1703,5763,884,2913,429,829,2493,724,0
5330,997132.0,98,0,338,65,11,14,0,45,0,0,15,32,30,44868,4277,98,106,6621,346,1280,1149,7,4,1,12,103,186,147,159,573,100,203,49,54,214,45,0
79605,4344457.0,1441,4,3006,2232,97,98,0,506,0,0,277,410,282,475317,50882,1440,2322,367013,8696,12417,6162,117,36,24,110,2255,1537,2828,2865,4873,2268,5233,947,474,1889,506,0
0,44519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3235,2803208.0,129,0,378,461,21,0,0,58,0,0,14,100,0,95798,9915,129,491,83003,1479,3205,1475,32,4,3,26,491,196,565,587,728,508,922,191,60,304,57,0
142413,5470002.0,126,1,566,370,26,42,0,85,0,0,13,45,125,117813,9431,126,421,13361,1389,1427,718,26,12,10,41,539,286,663,724,1119,564,684,138,77,430,85,0
75,3200103.0,49,0,140,133,12,1,0,30,0,0,8,37,0,47013,4302,48,171,30087,444,1016,574,11,2,1,19,179,72,215,216,448,171,228,62,30,208,30,0
16715,3575167.0,53,0,239,206,9,12,0,36,0,0,9,24,30,34443,3414,53,108,19453,405,1171,484,13,5,6,16,104,128,150,150,540,111,221,34,43,235,36,0
21838304,84456860.0,2219,0,9188,1847,174,56,0,1417,0,0,356,122,163,847599,54214,2211,1369,859743,9431,5864,1427,313,32,138,292,1247,5398,2671,2685,7911,1199,4808,506,1525,3280,1413,0
50,2447.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1410,20,0,1,5475,2,0,0,0,0,0,0,2,0,2,2,0,2,1,0,0,0,0,0
